# Nodes Time atoms Matom-steps/s/node  
1 0.455921 256000 561.5007863  
2 0.470294 512000 544.3403488  
4 0.475599 1024000 538.2685834  
8 0.523769 2048000 488.7650854  
16 0.568358 4096000 450.4203337  
32 0.569442 8192000 449.5629054  
64 0.561558 16384000 455.874549  
128 0.601485 32768000 425.6132738  
256 0.58975 65536000 434.0822382  
512 0.618886 131072000 413.6464551  
1024 0.597124 262144000 428.7216726  
2048 0.661855 524288000 386.7916689  
4096 0.920539 1048576000 278.0979404  
8192 2.29717 2097152000 111.4414693  
