# Nodes Time atoms Matom-steps/s/node  
1 2.03856 4096000 2009.261439  
2 2.36192 8192000 1734.18236  
4 2.63284 16384000 1555.734492  
8 2.8069 32768000 1459.261107  
16 2.92915 65536000 1398.357885  
32 3.03863 131072000 1347.975897  
64 3.06796 262144000 1335.089115  
128 3.11976 524288000 1312.921507  
256 3.08527 1048576000 1327.598557  
512 3.14301 2097152000 1303.209344  
1024 3.18098 4194304000 1287.65349  
2048 3.25376 8388608000 1258.851298  
4096 3.35213 16777216000 1221.909651  
8192 3.4489 33554432000 1187.62504  
