# Nodes Time atoms Matom-steps/s/node
1 24.0243 1024000 8.524702072
2 24.2847 2048000 8.43329339
4 24.1511 4096000 8.479945013
8 24.3898 8192000 8.396952825
16 24.3643 16384000 8.405741187
32 24.4356 32768000 8.381214294
64 24.4595 65536000 8.373024796
128 24.9766 131072000 8.199674896
256 24.6069 262144000 8.322868789
512 24.6102 524288000 8.321752769
1024 25.1487 1048576000 8.143562093
2048 24.84 2097152000 8.244766506
4096 25.3359 4194304000 8.083391551
8192 25.3451 8388608000 8.080457367
10710 25.2783 10978063488 8.109954155
