# nnodes natoms steps/s Matomsteps/s/node
     1    1000188000      3.374 3374.63431
     2    1000188000      6.534 3267.61420
     4    1000188000     13.854 3464.15114
     8    1000188000     27.068 3384.13610
    16    1000188000     53.624 3352.13008
    32    1000188000    106.626 3332.68893
    64    1000188000    192.395 3006.73704
   128    1000188000    324.056 2532.16346
   256    1000188000    499.762 1952.56233
   512    1000188000    642.496 1255.11092
  1024    1000188000    785.984  767.70680
  2048    1000188000    843.230  411.81080
