# nnodes natoms steps/s Matomsteps/s/node
     2    1000188000      2.276 1138.21394
     4    1000188000      4.994 1248.73472
     8    1000188000     13.671 1709.19627
    16    1000188000     26.007 1625.74308
    32    1000188000     48.537 1517.06640
    64    1000188000     86.025 1344.39332
   128    1000188000    165.732 1295.02467
   256    1000188000    268.276 1048.15014
   512    1000188000    443.361  866.10225
  1024    1000188000    667.406  651.88620
  2048    1000188000    966.459  471.99253
  4096    1000188000   1089.202  265.96845
  8192    1000188000   1343.830  164.07259
