# Nodes Time atoms Matom-steps/s/node
1 56.2916 "14,942,208" 26.54429435
2 57.4999 "29,884,416" 25.98649389
4 58.685 "59,768,832" 25.46171594
8 58.8366 "119,537,664" 25.39611058
16 59.5066 "239,075,328" 25.11016929
32 59.8082 "478,150,656" 24.98354406
64 62.2411 "956,301,312" 24.00697931
128 62.6757 "1,912,602,624" 23.84051235
256 63.7282 "3,825,205,248" 23.44677552
512 64.5729 "7,650,410,496" 23.1400603
1024 65.8565 "15,300,820,992" 22.68904057
2048 66.6893 "30,601,641,984" 22.40570526
4096 68.1888 "61,203,283,968" 21.91299451
8192 70.7389 "122,406,567,936" 21.12304263
