# Nodes Time atoms Matom-steps/s/node  
1 0.711662 1024000 1438.885314  
2 0.837821 2048000 1222.218111  
4 0.877959 4096000 1166.341481  
8 0.916624 8192000 1117.142907  
16 0.9562 16384000 1070.905668  
32 0.980896 32768000 1043.943497  
64 0.986319 65536000 1038.203664  
128 1.00061 131072000 1023.375741  
256 0.98582 262144000 1038.72918  
512 0.993332 524288000 1030.873867  
1024 1.22956 1048576000 832.8182439  
2048 1.2836 2097152000 797.7563104  
4096 1.16013 4194304000 882.6597019  
8192 1.24743 8388608000 820.8877452  
